"","x"
"324","EGFLAM"
"325","LIFR"
"326","OSMR"
"327","RICTOR"
"328","FYB1"
"329","DAB2"
"330","PTGER4"
"331","TTC33"
"332","PRKAA1"
"333","C7"
"334","C6"
"335","PLCXD3"
"336","OXCT1"
"337","FBXO4"
"338","GHR"
"339","CCDC152"
"340","SELENOP1"
"341","ZNF131"
"342","NIM1K"
"343","HMGCS1"
"344","TMEM267"
"345","C5orf34"
"346","PAIP1"
"347","NNT"
"348","FGF10"
"349","MRPS30"
"350","HCN1"
"351","EMB"
"352","PARP8"
"353","ISL1"
"354","LRRC2"
"355","CFC1"
"356","AAED1"
"357","CDC14B"
"358","HABP4"
"359","ZNF367"
"360","SLC35D2"
"361","HSD17B3"
"362","ERCC6L2"
"363","PTCH1"
"364","FANCC"
"365","FBP1"
"366","FBP2"
"367","CTSV"
"368","DAPK1"
"369","GAS1"
"370","ZCCHC6"
"371","ISCA1"
"372","GOLM1"
"373","NAA35"
"374","AGTPBP1"
"375","NTRK2"
"376","SLC28A3"
"377","RMI1"
"378","HNRNPK"
"379","CZH9orf64"
"380","KIF27"
"381","GKAP1"
"382","UBQLN1"
"383","IDNK"
"384","POLR1E"
"385","ZBTB5"
"386","PAX5"
"387","MELK"
"388","PCSK1"
"389","EFNA5"
"390","FBXL17"
"391","FER"
"392","MAN2A1"
"393","SLC25A46"
"394","WDR36"
"395","CAMK4"
"396","STARD4"
"397","NREP"
"398","EPB41L4A"
"399","APC"
"400","REEP5"
"401","SRP19"
"402","DTWD2"
"403","C1QTNF3"
"404","AMACR"
"405","SLC45A2"
"406","ADAMTS12"
"407","TARS"
"408","SUB1"
"409","MTMR12"
"410","GOLPH3"
"411","MRPL17"
"412","ARHGEF39"
"413","CA9"
"414","TPM2"
"415","TLN1"
"416","CREB3"
"417","AVR7"
"418","AVDL"
"419","AVD"
"420","GBA2"
"421","RGP1"
"422","MSMP"
"423","NPR2"
"424","TMEM8B"
"425","CD72"
"426","TESK1"
"427","RUSC2"
"428","ATP8B4"
"429","UNC13B"
"430","FAM214B"
"431","STOML2"
"432","PIGO"
"433","FANCG"
"434","DNAJB5"
"435","PHF24"
"436","IL11RA"
"437","CNTFR"
"438","GALT"
"439","SIGMAR1"
"440","ARID3C"
"441","DCTN3"
"442","RPP25L"
"443","DNAI1"
"444","FAM219A"
"445","C9orf24"
"446","KIAA1161"
"447","NUDT2"
"448","KIF24"
"449","FOXB2"
"450","GCNT1"
"451","RFKL"
"452","FAM189A2"
"453","APBA1"
"454","PTAR1"
"455","MAMDC2"
"456","SMC5"
"457","KLF9"
"458","TRPM3"
"459","ABHD17B"
"460","ABHD17B"
"461","C9orf85"
"462","GDA"
"463","TMC1"
"464","ALDH1A1"
"465","ANXA1"
"466","CCDC12"
"467","RORB"
"468","TRPM6"
"469","CARNMT1"
"470","NMRK1"
"471","OSTF1"
"472","SYT4"
"473","RIT2"
"474","PIK3C3"
"475","MCTP1"
"476","SLF1"
"477","KIAA0825"
"478","FAM172A"
"479","VPS13A"
"480","GNA14"
"481","GNAQ"
"482","CEP78"
"483","PSAT1"
"484","TLE4"
"485","SKOR2"
"486","HDHD2"
"487","KATNAL2"
"488","ST8SIA5"
"489","LOXHD1"
"490","RNF165"
"491","CZH18ORF25"
"492","HAUS1"
"493","ATP5F1AZ"
"494","PSTPIP2"
"495","EPG5"
"496","SIGLEC15"
"497","SETBP1"
