,geneID,genename,moduleColor,GS.Mass_min,p.GS.Mass_min,MM.blue,p.MM.blue,MM.greenyellow,p.MM.greenyellow,MM.pink,p.MM.pink,MM.tan,p.MM.tan,MM.magenta,p.MM.magenta,MM.black,p.MM.black,MM.brown,p.MM.brown,MM.yellow,p.MM.yellow,MM.grey,p.MM.grey
3070,ENSGALG00010012529,BEND3,black,-0.203128877,0.352584412,0.49328078,0.016765148,0.371381052,0.081023029,-0.41069004,0.051578558,0.225823523,0.300166371,0.417331785,0.047556377,0.769630746,1.76E-05,0.172612454,0.430933872,-0.379362691,0.074208826,0.367909764,0.084129122
7412,ENSGALG00010026581,DNER,black,-0.407187643,0.053803109,0.644073524,0.000911032,0.292187782,0.176093426,-0.453443599,0.029773227,0.100392159,0.648556257,0.441586616,0.034902029,0.769774549,1.75E-05,0.474821765,0.022052755,-0.277181088,0.200387642,0.224233584,0.303672798
7547,ENSGALG00010027241,LRRN2,black,-0.206281388,0.344999998,0.304451784,0.157812432,0.103199831,0.639367658,-0.564056622,0.005056545,-0.132435455,0.546920021,0.415547538,0.048612067,0.770409716,1.70E-05,0.457253652,0.028259151,-0.471924643,0.022992721,0.018254114,0.934115366
6049,ENSGALG00010022196,,black,-0.057479698,0.794474025,0.307506597,0.153474309,0.291938791,0.17647909,-0.250376573,0.249209626,0.07353464,0.738798403,0.43536952,0.037857208,0.77126613,1.65E-05,0.463041819,0.026077144,-0.330303439,0.123727434,0.408079747,0.053229577
904,ENSGALG00010004241,PREX2,black,-0.095194319,0.665697783,0.277791445,0.199357521,0.034482697,0.875877841,-0.229652836,0.291824373,0.093419992,0.671586979,0.231324243,0.288229,0.771539882,1.63E-05,0.068790163,0.755133291,-0.521537323,0.010703056,0.270416929,0.212045003
3503,ENSGALG00010013792,FGF10,black,-0.571579203,0.004382646,0.643589556,0.000921848,0.161525712,0.461544049,-0.645673163,0.000876052,0.10083552,0.647101934,0.397447703,0.060380238,0.771559621,1.63E-05,0.114777599,0.602028254,-0.400817509,0.058038421,0.140794823,0.521667304
759,ENSGALG00010003660,IGFBP7,black,-0.301274286,0.162415314,0.575253541,0.004081924,0.565991103,0.004875482,-0.372690413,0.079874094,0.093193268,0.672340856,0.633120831,0.001184277,0.771729749,1.61E-05,0.531175433,0.009104826,-0.267920538,0.216459604,0.395702706,0.061621062
3416,ENSGALG00010013458,LAMA4,black,-0.188002335,0.390315824,0.442687365,0.03439836,0.22908466,0.293052909,-0.443508854,0.034026232,0.252792859,0.24451871,0.458372521,0.027826392,0.772119177,1.59E-05,0.257110504,0.236280396,-0.366352077,0.085551585,0.362613383,0.089039104
5540,ENSGALG00010020950,EFHD2,black,-0.10430333,0.63577016,0.341238334,0.111044383,0.220484571,0.31204015,-0.484812298,0.019045906,-0.093060762,0.672781593,0.235448257,0.279476729,0.772452808,1.57E-05,0.432353578,0.039360003,-0.617879363,0.001679017,0.011806713,0.957359841
395,ENSGALG00010002146,CACUL1,black,0.112080508,0.610645083,0.204052333,0.350352683,0.106550158,0.628469941,-0.251243166,0.247520591,0.003756762,0.986427004,0.162935306,0.457590977,0.773376561,1.51E-05,0.187998363,0.39032602,-0.555143002,0.005965161,0.30650001,0.154894372
