"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GSF2960.NOF1.POA","GSF2960.NOF10.POA","GSF2960.NOF11.POA","GSF2960.NOF12.POA","GSF2960.NOF2.POA","GSF2960.NOF3.POA","GSF2960.NOF4.POA","GSF2960.NOF5.POA","GSF2960.NOF6.POA","GSF2960.NOF7.POA","GSF2960.NOF8.POA","GSF2960.NOF9.POA","GSF2960.NOM1.POA","GSF2960.NOM10.POA","GSF2960.NOM11.POA","GSF2960.NOM12.POA","GSF2960.NOM2.POA","GSF2960.NOM3.POA","GSF2960.NOM4.POA","GSF2960.NOM5.POA","GSF2960.NOM6.POA","GSF2960.NOM7.POA","GSF2960.NOM8.POA","GSF2960.NOM9.POA"
"380","ENSGALG00010012961",206.641382007367,-0.916682066887952,0.11451338702983,-8.00502099068262,1.19446295850246e-15,6.25909351182843e-14,131,121,184,148,152,117,128,145,131,200,128,180,213,335,289,214,278,289,185,272,303,244,241,347
"381","ENSGALG00010012965",1287.87922958321,-0.738594119570505,0.0617365204459693,-11.9636499471477,5.50862543186946e-33,5.98895697653621e-31,1000,721,1052,1134,865,700,913,969,1027,1026,1055,1148,1764,1876,1702,1437,1689,1848,1144,1747,1768,1413,1238,1853
"382","ENSGALG00010012969",984.405433011558,-0.783941348363358,0.156982607745013,-4.99381020371833,5.91995774083531e-07,1.92365554187534e-05,1309,578,888,629,930,709,544,791,740,761,804,810,1106,1038,1207,862,1270,1093,1616,901,1635,945,989,1425
"383","ENSGALG00010012973",596.747934105968,-0.833853678063544,0.0701536840621523,-11.8860996284214,1.39783236654862e-32,1.50564665926482e-30,400,341,512,461,452,368,382,374,518,465,456,548,851,779,787,712,842,815,602,779,758,662,605,885
"384","ENSGALG00010012974",622.209657035796,-0.981795209020567,0.074013861787534,-13.2650180021539,3.69332155660346e-40,5.05463643152566e-38,518,349,418,448,493,334,303,460,452,428,477,511,727,857,894,678,931,844,691,812,1014,748,640,952
"385","ENSGALG00010013001",621.669815993661,-0.898939075511471,0.0819940295483312,-10.963469907057,5.72608999617285e-28,5.08485533782281e-26,522,383,434,445,508,331,308,447,434,506,469,453,917,671,963,776,844,814,563,701,1044,710,792,941
"386","ENSGALG00010013033",336.90860925462,-0.772681981370578,0.0934950805201637,-8.26441324047993,1.40383517662511e-16,7.66704911252577e-15,306,225,259,308,245,205,181,208,328,248,273,306,443,409,456,339,471,503,334,501,561,281,318,458
"387","ENSGALG00010013045",197.437975758354,-0.464251893804082,0.09261558560178,-5.01267568290536,5.36783276129728e-07,1.74913161098519e-05,214,154,169,158,143,149,151,188,166,192,197,151,275,221,234,212,224,232,201,222,222,208,205,248
"388","ENSGALG00010013065",1635.92921096002,-0.899113510757602,0.0610615200081613,-14.7247155104791,4.47348251830154e-49,9.63704113618552e-47,1251,878,1103,1330,1175,889,964,981,1231,1430,1285,1381,2252,1997,2531,1827,2269,2552,1340,2303,2383,1857,1890,2469
"389","ENSGALG00010013085",354.003978522553,-0.943084880712659,0.179002289705762,-5.26856322487757,1.37495686137196e-07,4.66322832896211e-06,282,168,212,224,229,169,223,419,188,248,393,249,491,450,581,373,430,494,374,786,456,406,264,442
