,geneID,genename,moduleColor,GS.Mass_min,p.GS.Mass_min,MM.brown,p.MM.brown,MM.grey,p.MM.grey,MM.green,p.MM.green,MM.lightgreen,p.MM.lightgreen,MM.pink,p.MM.pink,MM.black,p.MM.black,MM.lightcyan,p.MM.lightcyan,MM.cyan,p.MM.cyan,MM.grey60,p.MM.grey60,MM.purple,p.MM.purple,MM.salmon,p.MM.salmon,MM.midnightblue,p.MM.midnightblue
2600,ENSGALG00010010254,WDR41,brown,-0.801795697,4.23E-06,0.98372457,3.86E-17,-0.341605993,0.110635154,-0.239778956,0.270468039,-0.332419982,0.121194406,-0.255475454,0.239378488,-0.129082532,0.557203728,-0.262942302,0.225444927,-0.002369521,0.991438806,0.068462572,0.756265008,0.036193761,0.869768545,0.328743484,0.12561869,-0.107954079,0.623925408
4442,ENSGALG00010016168,PLIN2,brown,-0.889631688,1.36E-08,0.983870085,3.52E-17,-0.267206397,0.217733672,-0.141378221,0.519925931,-0.337261244,0.115542118,-0.221260114,0.310297795,-0.177085311,0.418901244,-0.274377357,0.205165803,0.005181925,0.981278713,0.130832651,0.551825084,-0.06083698,0.782741234,0.317281772,0.140158333,-0.056020862,0.799585877
2446,ENSGALG00010009548,PIK3C3,brown,-0.905890293,2.75E-09,0.985059406,1.58E-17,-0.215866501,0.322538537,-0.129797165,0.555004592,-0.408820819,0.052756748,-0.274043252,0.205740259,-0.172795812,0.430436994,-0.202994513,0.352909824,0.007649085,0.972368115,0.151724917,0.489511272,0.017360811,0.93733326,0.351977331,0.099540412,-0.011780345,0.957454987
3802,ENSGALG00010013732,,brown,-0.803922741,3.81E-06,0.985130119,1.51E-17,-0.337184854,0.115629787,-0.230920716,0.289094483,-0.326364839,0.128542535,-0.245444055,0.258965243,-0.121614204,0.580417761,-0.265619373,0.220582865,-0.018154619,0.934473724,0.044902725,0.838791958,-0.045915925,0.835202242,0.268710104,0.215056769,-0.05767582,0.793787416
4315,ENSGALG00010015674,RFKL,brown,-0.774870573,1.42E-05,0.98538213,1.26E-17,-0.275848336,0.202649465,-0.228918355,0.293413107,-0.411009204,0.051379439,-0.295318597,0.1712937,-0.185590681,0.396533998,-0.295222687,0.171439374,-0.048124424,0.827388748,0.104372646,0.635544447,0.030635993,0.889636914,0.311817742,0.147495992,-0.100109285,0.649484792
2846,ENSGALG00010010985,CERT1,brown,-0.864597129,1.04E-07,0.985440628,1.21E-17,-0.219364388,0.314567303,-0.207426909,0.342268134,-0.326996616,0.12776122,-0.317340286,0.140081189,-0.142916758,0.515346941,-0.18287411,0.403604231,-0.063921263,0.772002647,0.142743635,0.515861218,0.118273548,0.59093552,0.317852178,0.139407615,-0.043139449,0.845046532
1553,ENSGALG00010006249,C9orf72,brown,-0.859228859,1.52E-07,0.985735401,9.76E-18,-0.228000022,0.295407076,-0.181776228,0.406481324,-0.375963945,0.077055314,-0.334443765,0.118807731,-0.184961967,0.398164116,-0.197229837,0.367036396,-0.031693515,0.88585108,0.153304759,0.484946789,0.091332672,0.678538999,0.306576319,0.154786395,-0.065168023,0.767673125
3172,ENSGALG00010011972,IPO11,brown,-0.815928135,2.08E-06,0.986242223,6.69E-18,-0.238502317,0.273104292,-0.134664977,0.540130461,-0.336670486,0.116221362,-0.250515699,0.248937961,-0.202122724,0.355025459,-0.236967709,0.276294717,-0.012153037,0.956110238,0.156795601,0.474937321,-0.005670939,0.979512346,0.31435504,0.144055572,0.063312132,0.774120328
3586,ENSGALG00010013183,CLTA,brown,-0.775012813,1.41E-05,0.98644907,5.71E-18,-0.306716973,0.154587508,-0.132352437,0.547173588,-0.290490473,0.178733957,-0.238086501,0.273966452,-0.188194418,0.389822933,-0.300540588,0.163491332,0.037344711,0.86566314,0.16168239,0.461103791,-0.018435176,0.933463257,0.293941646,0.173393342,-0.069612871,0.752293271
3876,ENSGALG00010014041,SKIV2L2,brown,-0.832588651,8.30E-07,0.986872028,4.10E-18,-0.282910035,0.190859659,-0.196665556,0.368436491,-0.357516185,0.093963318,-0.304157557,0.158234757,-0.225611624,0.300632239,-0.275742663,0.202829536,-0.058305661,0.791583405,0.093369533,0.671754732,-0.029176284,0.894866354,0.278934938,0.19743727,-0.030762936,0.889182341
4045,ENSGALG00010014736,KIF2A,brown,-0.865589217,9.65E-08,0.987372085,2.73E-18,-0.245803923,0.258245321,-0.160370264,0.464797523,-0.385381374,0.069364272,-0.280937321,0.19410498,-0.1889831,0.387802831,-0.207740191,0.341523249,-0.002798344,0.98988952,0.164631758,0.45285689,0.018238211,0.934172643,0.363504138,0.08819873,-0.027889007,0.899481576
3190,ENSGALG00010012011,HOOK3,brown,-0.797412625,5.21E-06,0.98778589,1.93E-18,-0.236841132,0.276558915,-0.255123178,0.240049439,-0.39622798,0.061245515,-0.249583111,0.250762653,-0.135387607,0.537938257,-0.233168018,0.284295089,-0.08843991,0.688215575,0.077184818,0.726304622,0.021756126,0.921510349,0.319320315,0.137488577,-0.078421616,0.722086404
2311,ENSGALG00010009153,SECISBP2,brown,-0.88371145,2.29E-08,0.988863082,7.35E-19,-0.265367969,0.221036475,-0.178422089,0.415341027,-0.391961941,0.064346807,-0.280233617,0.195271669,-0.192099812,0.379877841,-0.222328997,0.307906188,-0.026186756,0.905589408,0.124226058,0.572251659,0.023615857,0.914823733,0.358448353,0.093048011,-0.014249382,0.948548468
3129,ENSGALG00010011881,RIOK2,brown,-0.887471828,1.65E-08,0.989106336,5.84E-19,-0.244323269,0.261215641,-0.090937876,0.679856781,-0.342150336,0.110031292,-0.279453309,0.196570921,-0.153442335,0.484550319,-0.158064815,0.471324282,0.062430083,0.777189584,0.187625602,0.391283552,0.06212481,0.778252594,0.348828478,0.102818041,0.002454167,0.991132989
3454,ENSGALG00010012861,WDR70,brown,-0.804060819,3.79E-06,0.9891095,5.82E-19,-0.322316257,0.133631181,-0.204367603,0.349592669,-0.404413785,0.05561697,-0.221147015,0.310551515,-0.168741881,0.441494298,-0.267255248,0.217646362,-0.005764827,0.979173222,0.070948548,0.747689082,-0.056131467,0.799198027,0.286885651,0.184432228,-0.017687134,0.936157654
2613,ENSGALG00010010302,WDR36,brown,-0.803561351,3.88E-06,0.990434704,1.50E-19,-0.234795307,0.280851185,-0.153799227,0.483522575,-0.322122461,0.13387833,-0.204858026,0.34841235,-0.104272869,0.635869357,-0.245555961,0.258741236,0.011734677,0.957619775,0.131181419,0.550756048,-0.01419336,0.948750493,0.262286668,0.226646402,-0.037619,0.864685252
2354,ENSGALG00010009280,HSD17B4,brown,-0.842085008,4.70E-07,0.990872505,9.18E-20,-0.28149738,0.193179837,-0.107230391,0.626266366,-0.335879949,0.117134846,-0.240691328,0.268593933,-0.159910703,0.466094818,-0.239243192,0.271572415,0.075898619,0.730699499,0.181941603,0.406047222,0.035517789,0.872181239,0.354499484,0.096971302,-0.017921787,0.935312373
2306,ENSGALG00010009143,MCCC2,brown,-0.825475879,1.24E-06,0.991142764,6.70E-20,-0.222470305,0.307590861,-0.169099003,0.440514223,-0.370113627,0.082146956,-0.231713438,0.287395789,-0.148923564,0.4976573,-0.250493156,0.248981966,-0.030406888,0.890457396,0.134762251,0.539835124,0.014323977,0.948279467,0.334940533,0.11822714,0.000474103,0.998287013
3387,ENSGALG00010012669,ERCC8,brown,-0.848251404,3.18E-07,0.991626899,3.72E-20,-0.250981742,0.248029337,-0.180308491,0.410345305,-0.34207694,0.110112571,-0.284996343,0.187467927,-0.210948198,0.333951066,-0.251648553,0.246733027,-0.047359839,0.830092036,0.137542485,0.531425793,0.025753268,0.907145639,0.288195398,0.182347643,-0.02453775,0.911511127
2735,ENSGALG00010010733,GFM2,brown,-0.801319467,4.33E-06,0.99222689,1.71E-20,-0.233098191,0.284443458,-0.166676644,0.447184707,-0.391035026,0.065036244,-0.196997253,0.367613111,-0.145733027,0.507015747,-0.242950021,0.263989972,-0.005589009,0.97980828,0.130138391,0.553955924,-0.014045239,0.949284656,0.315785356,0.142141464,0.037753071,0.864207334
3690,ENSGALG00010013381,DENND2A,cyan,0.462105487,0.026420672,-0.384830522,0.069797392,0.083754361,0.703989439,0.646383602,0.000860889,0.637630211,0.001064321,0.415368272,0.048719133,0.305261759,0.156653905,0.012953305,0.953223108,0.625581128,0.001410664,0.306046804,0.15553675,-0.114736528,0.602159087,-0.243424994,0.263028279,0.134056345,0.541980042
6423,ENSGALG00010021825,ONECUT1,cyan,0.39743376,0.060390076,-0.383550658,0.070811647,-0.207150526,0.342926081,0.234510668,0.281451678,0.003701093,0.986628114,0.259525142,0.231753382,0.150583289,0.492822947,0.06326376,0.774288563,0.545891302,0.007048277,-0.075503354,0.73205175,-0.118377282,0.590607705,0.197997933,0.36513554,0.029438196,0.893927731
116,ENSGALG00010000770,CDH12,cyan,0.543388903,0.007367789,-0.364552651,0.087217124,0.014127655,0.948987439,0.599479757,0.002501017,0.08491791,0.700061036,0.053329044,0.809038946,0.229299072,0.29258892,0.411994056,0.050768769,0.71488383,0.000126478,0.321118381,0.135164075,0.18057789,0.409634573,0.295911261,0.170395427,0.156907495,0.474618229
610,ENSGALG00010002626,CHD7,cyan,0.461275548,0.026728182,-0.337987398,0.114711166,-0.118532398,0.590117661,0.54590184,0.007046956,0.259403037,0.231980927,0.321529324,0.134636791,0.245901174,0.25805099,0.302035018,0.161304885,0.661051775,0.000594366,0.027972923,0.899180618,-0.324158517,0.131298057,0.157867181,0.471885958,0.115974404,0.598220977
8700,ENSGALG00010028892,,cyan,0.362141536,0.089486677,-0.334137251,0.119166996,-0.219150081,0.315052199,0.504232465,0.014149832,0.235077698,0.280256234,0.315907539,0.141978795,-0.064220723,0.770962132,0.042377832,0.847750912,0.566097922,0.004865644,0.128303698,0.559604898,-0.332171352,0.121489997,-0.153541881,0.484263544,0.328306228,0.126152534
757,ENSGALG00010003205,,cyan,0.411725873,0.050934499,-0.33034841,0.123673219,-0.24450754,0.260844789,0.557099671,0.005754863,0.463415053,0.02594121,0.351929379,0.099589738,0.306184494,0.155341389,0.236350259,0.277584999,0.701848698,0.000189626,0.005590923,0.979801365,-0.331744062,0.121999212,0.128898348,0.557771154,0.130893976,0.551637044
176,ENSGALG00010001172,TMEM200C,cyan,0.51566262,0.011785668,-0.329703484,0.124452355,-0.012126936,0.956204413,0.46225508,0.026365546,0.352693439,0.098805916,0.342347937,0.109812682,0.456497255,0.028554741,0.032583915,0.882665396,0.73938491,5.55E-05,0.379440862,0.074144307,0.258173351,0.234280665,0.218388128,0.316779898,-0.20548801,0.346899589
