"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GSF2960.NOF1.TnA","GSF2960.NOF10.TnA","GSF2960.NOF11.TnA","GSF2960.NOF12.TnA","GSF2960.NOF2.TnA","GSF2960.NOF3.TnA","GSF2960.NOF4.TnA","GSF2960.NOF5.TnA","GSF2960.NOF6.TnA","GSF2960.NOF7.TnA","GSF2960.NOF8.TnA","GSF2960.NOF9.TnA","GSF2960.NOM1.TnA","GSF2960.NOM10.TnA","GSF2960.NOM11.TnA","GSF2960.NOM12.TnA","GSF2960.NOM2.TnA","GSF2960.NOM3.TnA","GSF2960.NOM4.TnA","GSF2960.NOM5.TnA","GSF2960.NOM6.TnA","GSF2960.NOM7.TnA","GSF2960.NOM8.TnA","GSF2960.NOM9.TnA"
"33","ENSGALG00010006029",331.006406047502,-0.94788292626941,0.0702574800121535,-13.491558850466,1.75353330398455e-41,2.30784466507745e-39,167,215,261,275,247,252,205,209,278,259,283,169,391,381,445,514,478,488,365,397,427,388,462,445
"34","ENSGALG00010006096",6715.51353445588,-0.321349741343813,0.0742599135203503,-4.32736487439822,1.50903864700293e-05,0.000470383230888149,4793,5479,8208,6275,6388,6481,5920,5471,7813,6871,4929,4842,6129,7043,7022,8082,8778,8213,5881,7708,8706,6294,7760,7590
"35","ENSGALG00010006121",83.8983295288523,-0.698591395313454,0.170260049880728,-4.10308463907322,4.07678022960339e-05,0.00123187402601153,43,94,63,41,54,51,39,43,106,88,85,54,70,89,93,116,122,128,87,129,82,113,137,114
"36","ENSGALG00010006178",1301.35178371343,-1.07370450738801,0.0704534042878287,-15.2399237232245,1.92094485333523e-52,3.61168123615171e-50,636,783,1013,1099,712,934,737,775,979,798,986,809,1470,1573,1784,2007,1771,1953,1586,1872,1747,1537,1962,1902
"37","ENSGALG00010006223",73.4614770648807,-0.799513166794431,0.112256962476552,-7.1221699675103,1.0624092503795e-12,4.89659049445337e-11,36,50,80,63,51,68,67,41,57,54,56,40,81,72,73,122,111,90,74,100,106,106,94,94
"38","ENSGALG00010006249",1944.80829238667,-1.01958767375169,0.0514854069947652,-19.8034303944681,2.78095681339451e-87,2.53387949651215e-84,973,1356,1388,1424,1325,1277,1396,1284,1282,1224,1417,1045,2094,2169,2095,3077,3095,2640,2228,2768,2867,2710,3150,2876
"39","ENSGALG00010006277",910.932354319514,-1.02891689265177,0.0803813977701916,-12.8004354389733,1.63034478489684e-37,1.83918418829553e-35,585,545,620,848,510,676,579,510,759,603,689,465,966,975,1389,1374,1203,1414,1075,1277,1235,1074,1376,1271
"40","ENSGALG00010006287",2480.24275954366,-0.336095290086847,0.0546481595112255,-6.1501666861774,7.74015579653343e-10,3.15058918934496e-08,1875,2436,2357,2101,2268,2040,2229,2071,2601,2502,2427,1583,2193,2534,2103,3122,3250,2903,2126,3078,3180,2854,3093,3305
"41","ENSGALG00010006293",13.7037050738974,-1.06625790074646,0.268333024329045,-3.97363650416342,7.07835610887558e-05,0.00211191758462547,7,5,11,24,14,10,7,10,12,13,16,4,12,21,13,32,9,22,3,8,31,26,9,19
"42","ENSGALG00010006355",46.6216835618974,-0.840976052970687,0.170214153001174,-4.94069405007048,7.78449755564042e-07,2.67267749410321e-05,23,32,32,34,26,43,36,30,34,43,20,30,45,59,45,96,71,46,72,67,55,43,78,65
